Unlabeled	U_avg	U_sd	L_avg	L_sd
U[107]	0.24747675940455652	1.2795146630905725	0.24747675940455652	1.2795146630905725
U[108]	0.2289085945704908	1.1160630374140312	0.2289085945704908	1.1160630374140312
U[109]	0.23345419337096884	1.1726007390832847	0.23345419337096884	1.1726007390832847
U[110]	0.23989720416467375	1.1664309909548367	0.23989720416467375	1.1664309909548367
U[111]	0.25862710345218376	1.3174551624542623	0.25862710345218376	1.3174551624542623
U[112]	0.23983099663996468	1.315485594229573	0.23983099663996468	1.315485594229573
U[113]	0.21957774295387036	1.0280222006906148	0.21957774295387036	1.0280222006906148
U[114]	0.23732783983182937	1.168441400199029	0.23732783983182937	1.168441400199029
U[115]	0.2428801197004043	1.168392973836255	0.2428801197004043	1.168392973836255
U[116]	0.25271480942790103	1.3067110127821506	0.25271480942790103	1.3067110127821506
U[117]	0.25737597512191485	1.211979793597033	0.25737597512191485	1.211979793597033
U[118]	0.2568066072918965	1.2819934717647867	0.2568066072918965	1.2819934717647867
U[119]	0.25618452572680356	1.322419364677062	0.25618452572680356	1.322419364677062
U[120]	0.25241840028825063	1.3407564700162595	0.25241840028825063	1.3407564700162595
U[121]	0.23692103416161647	1.1487939266682083	0.23692103416161647	1.1487939266682083
U[122]	0.2451389765946208	1.2127510983575254	0.2451389765946208	1.2127510983575254
U[123]	0.2313927373402178	1.0983815861030908	0.2313927373402178	1.0983815861030908
U[124]	0.23313763409842664	1.0993176833697724	0.23313763409842664	1.0993176833697724
U[125]	0.24182994800741794	1.2352941610748953	0.24182994800741794	1.2352941610748953
U[126]	0.2527209984589706	1.2747165077332454	0.2527209984589706	1.2747165077332454
U[127]	0.26008689134129354	1.2786590037763164	0.26008689134129354	1.2786590037763164
U[128]	0.2607263182876823	1.3223401021077357	0.2607263182876823	1.3223401021077357
U[129]	0.22555375610235126	1.0590690533852356	0.22555375610235126	1.0590690533852356
U[130]	0.2688997856906371	1.3311909567111626	0.2688997856906371	1.3311909567111626
U[131]	0.23725907664713616	1.1580071177423585	0.23725907664713616	1.1580071177423585
U[132]	0.2239773222581034	1.1160225828855226	0.2239773222581034	1.1160225828855226
U[133]	0.22358921822641237	1.1010306799325624	0.22358921822641237	1.1010306799325624
